price,beds,living,baths,sqmt,epc,tax,date,link,house,lat,lon
700,2,1,1,60,d,d,05/08/2024,https://www.aspc.co.uk/search/property/426838/542C-Great-Western-Road/Aberdeen/,542C Great Western Road,57.13110745,-2.138601353
650,1,1,1,47,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426847/Flat-4--207-Great-Western-Road/Aberdeen/,"Flat 4, 207 Great Western Road",57.136736,-2.120746624
600,2,1,1,58,d,b,05/08/2024,https://www.aspc.co.uk/search/property/426869/5A-Loirston-Place/Aberdeen/,5A Loirston Place,57.13444699,-2.07857507
795,2,1,1,59,b,d,05/08/2024,https://www.aspc.co.uk/search/property/426870/25G-Seaforth-Road/Aberdeen/,25G Seaforth Road,57.15635918,-2.09395807
1295,3,1,2,72,e,c,05/08/2024,https://www.aspc.co.uk/search/property/426884/Flat-1C--16-Bridge-Street/Aberdeen/,"Flat 1C, 16 Bridge Street",57.14517936,-2.101878035
895,2,1,1,90,c,e,05/08/2024,https://www.aspc.co.uk/search/property/426897/9-Corunna-Place/Aberdeen/,9 Corunna Place,57.18103772,-2.084814706
750,2,1,1,60,c,b,05/08/2024,https://www.aspc.co.uk/search/property/426907/Flat-D--21-Seaton-Road/Aberdeen/,"Flat D, 21 Seaton Road",57.16908555,-2.092342988
650,3,1,1,72,c,a,05/08/2024,https://www.aspc.co.uk/search/property/426913/69-Queen-Street/Peterhead/,69 Queen Street,57.50776162,-1.782893
600,1,1,1,40,c,a,05/08/2024,https://www.aspc.co.uk/search/property/426920/835-Great-Northern-Road/Aberdeen/,835 Great Northern Road,57.17302036,-2.147040682
750,2,1,1,57,d,d,05/08/2024,https://www.aspc.co.uk/search/property/426935/Flat-6-Bonnymuir-Court--Bonnymuir-Place/Aberdeen/,"Flat 6, Bonnymuir Court, Bonnymuir Place",57.15181609,-2.129956388
650,2,1,1,60,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426953/21-Station-Court/Banchory/,21 Station Court,57.05180171,-2.488713988
725,2,1,1,58,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426981/35-Esslemont-Drive/Inverurie/,35 Esslemont Drive,57.27978146,-2.387543988
3200,5,4,2,167,c,g,05/08/2024,https://www.aspc.co.uk/search/property/426985/49-Woodlands-Avenue/Aberdeen/,49 Woodlands Avenue,57.12346845,-2.166581023
850,2,1,2,77,b,d,05/08/2024,https://www.aspc.co.uk/search/property/426992/63-McIntosh-Crescent/Aberdeen/,63 McIntosh Crescent,57.2128079,-2.189878977
820,2,1,2,62,b,c,05/08/2024,https://www.aspc.co.uk/search/property/427001/8-Birchlee--Blackhall-Road/Inverurie/,"8 Birchlee, Blackhall Road",57.28403728,-2.391674942
700,2,1,1,65,c,b,05/08/2024,https://www.aspc.co.uk/search/property/427012/42-Prunier-Drive/Peterhead/,42 Prunier Drive,57.5114818,-1.809685023
595,1,1,1,34,e,b,05/08/2024,https://www.aspc.co.uk/search/property/427019/5F-Allan-Street/Aberdeen/,5F Allan Street,57.135658,-2.117455
795,2,1,1,60,c,c,05/08/2024,https://www.aspc.co.uk/search/property/427021/9-Trinity-Court/Westhill/,9 Trinity Court,57.15514691,-2.280666178
1250,2,1,2,90,c,e,05/08/2024,https://www.aspc.co.uk/search/property/427036/28-Queens-Highlands/Aberdeen/,28 Queens Highlands,57.13939282,-2.143145012
425,1,0,1,27,g,a,05/08/2024,https://www.aspc.co.uk/search/property/427041/Top-Floor-Left--11-Commerce-Street/Aberdeen/,"Top Floor Left, 11 Commerce Street",57.14704182,-2.087641283
900,2,1,1,70,c,e,06/08/2024,https://www.aspc.co.uk/search/property/427062/3c-St-Devenicks-Crescent/Aberdeen/,3c St. Devenicks Crescent,57.11796809,-2.173943353
750,2,1,1,58,b,d,09/08/2024,https://www.aspc.co.uk/search/property/427129/49-Charleston-Road-North/Aberdeen/,49 Charleston Road North,57.1053019,-2.095433283
700,2,1,1,60,d,d,09/08/2024,https://www.aspc.co.uk/search/property/427130/542C-Great-Western-Road/Aberdeen/,542C Great Western Road,57.13111655,-2.138603364
695,2,1,1,59,c,b,09/08/2024,https://www.aspc.co.uk/search/property/427131/142-Morrison-Drive/Aberdeen/,142 Morrison Drive,57.12297055,-2.145616201
1600,2,1,2,91,b,e,09/08/2024,https://www.aspc.co.uk/search/property/427153/16-Queens-Highlands/Aberdeen/,16 Queens Highlands,57.13939427,-2.143149706
525,1,1,1,35,e,a,09/08/2024,https://www.aspc.co.uk/search/property/427166/44-Esslemont-Avenue/Aberdeen/,44 Esslemont Avenue,57.148596,-2.115662283
875,3,2,1,101,d,e,09/08/2024,https://www.aspc.co.uk/search/property/427181/36-Malcolm-Road/Aberdeen/,36 Malcolm Road,57.17754982,-2.17405
825,2,1,1,78,c,c,09/08/2024,https://www.aspc.co.uk/search/property/427188/47-Ramsay-Road/Stonehaven/,47 Ramsay Road,56.96562802,-2.225224
1250,3,1,2,92,d,c,09/08/2024,https://www.aspc.co.uk/search/property/427195/17-Edgehill-Gardens/Aberdeen/,17 Edgehill Gardens,57.23384655,-2.099942647
